"No","Comment"
1,"Game padet, tamat cepet, tapi tetep bikin nagih? Ini listnya, Bro! 
Nomor berapa yang paling lo suka? Atau ada game singkat lain yang layak masuk list selanjutnya? Drop di komentar ya! 
Jangan lupa like & subscribe — biar weekend kita gak cuma rebahan, tapi juga penuh progress bar"
2,"Control, maen pas awal rilis di 2019. Ini game susah tapi bikin nagih, Sfx nya bikin candu, mekanik telekinesis nya asyik buat di mainin."
3,"buat bapak2 usia 30an punya anak dan gawe fulltime list ini ngebantu banget"
4,"Menurut gw sih bakal ada sweetspot untuk durasi game. Terlalu pendek bakal bikin kita ngerasa rugi karna udah bayar mahal ternyata kontennya kurang. Terlalu panjang bakal bikin kita ngerasa jenuh dan bikin kita bertanya kapan ini game tamat. Gw ngerasa 20-30 jam udah pas lah buat story game bisa ditamatin. Ga kependekan, ga kelamaan karna jujur aja semakin tua semakin susah buat kita nyari waktu gaming. Weekend mau ngegame 3 jam aja udah ajaib sebelum kita harus family time, bersosialisasi dan lain sebagainya."
5,"Spot on! yang penting kita bisa puas main game dan tetep punya waktu untuk responsibility & aktifitas sosial ️"
6,"Bang jadi gini kalo di pengalaman gw, jadi gw dari dlu selalu berharap² punya PC gaming buat main game tripla A, karena gw emang hobi, sampai saat itu gw kebeli PC dan setelah gw coba mainkan beberapa game tripe A, kenapa ya rasa nya agak jenuh aja gitu, padahal dlu saya sering nonton in orang main game triple A di yt , apa mungkin karena faktor usia, btw umur gw masih 24"
7,"@danielk.e1201 Sama persis! gw juga sharing ya.

gw juga ngerasain ini kok. dulu selalu mendambakan yang namanya pengen punya pc/laptop gaming cuma emang belom ada rejekinya, sampe akhirnya beli sendiri setelah kerja. di awal2 emang getol banget main game AAA tapi makin kelamaan kaya jenuh gitu. menurut gw ada faktor usia & energi kita yang abis juga untuk hal lain selain gaming. Kalo gw cara ngakalinnya adalah dengan ga cuma mainin 1 game sampe tamat, tapi ganti2an. misal main AC:Odyssey weekend ini, nah weekend depan main RDR2 terus weekend depannya main game yang lain, gitu aja terus. jadi hasrat main game tetep tersalurkan tanpa burnout"
8,"gw kalau main game yang durasinya bentar diakalinnya dengan pc game pass di xbox apalagi kalau game nya ratusan rb while game pass cuman 70k an per bulan"
9,"Izin nambahin 
Clair obscur Expedition 33 bisa dikelarin 20-25 jam aja, bisa lebih cepet malah kalo ga banyak mati tiap lawan boss"
10,"Alan Wake 2 termasuk game yang makan waktu, perlu mikir juga kadang."
11,"Asikk broo"
12,"cobain maen lego gais itu have fun banget seri game lego banyak jadi ga bosen puzzlenya yang bikin seru ternyata buat orang dewasa dan 1 lagi naruto storm itu goat nya game anime lawas tapi ttp enjoy dan semuanya dibawah 20 jam"
13,"gua uncharted 4 sih, bener"" ciamik banget action, story dan tentunya graphicnya 10/10 dah"
14,"Tambahin death stranding, gausah ngomongin durasi tamat yg penting enjoyable"
15,"Gua main game cuma untuk namatin story ny aj, untuk side mission tipis2 aj gak terlalu wajib. Baru pny ps4 tahun 2022, sampe skrg sudah beberapa game yg sudah tamat. Setiap namatin game saya catat tanggal ny  jd bs tahu jumlah game yg sudah tamat."
16,"Keren bro . Pembawaanlu seru and jelas banget ga bikin bosen . Bikin betah kalau nonton .Semangat , gw doain lu makin berkembang"
17,"waah makasi banyak yaa udah nonton & support juga, amiin2  ditunggu video2 seru lainnya ya"
18,"Metro Exodus is still the best untuk yang suka apocalyptic scene"
19,"kalo game tamatnya 100 jam,tidak masalah,terpenting gamenya tidak terlalu suli,ngomong2 GTA 6 menurut rockstar 400 jam tamat mision"
20,"Aku main game itu 25 jam,menurutku sudah cukup lama,jikapun ada game 100 jam tmt,Aku gak bisak tamatin, palagi gamenya super sulit macam game game fromsoftware"
21,"bagi orang yg jarang punya waktu gaming, Spider-man itu sudah panjang, tapi enak ga ngantuk.."
22,"Betul! tapi masih masuk threshold 20 jam kok ️"
23,"Spider-man 2 saking kencengnya traversal, gk nyampe 40 jam udah platinum. Tapi emg satisfying sih wkwk"
24,"pass banget youtube ngerekomendasiin chanel ini. otw subs!"
25,"Welcome! makasi udah mampir & support"
26,"asik bet dapat ni rekomendasi yutub"
27,"Welcome! makasi udah mampir & support ya"
28,"Calon channel terkenal"
29,"Amiiin, makasi udah mampir & support"
30,"Tergantung konten gamenya. Game RPG kek Cyberpunk, witcher3, Skyrim/Oblivion mau ratusan jam bisa betah karena banyak yg bisa diexplore dari story ama build char.
Kalo game macam RE series, DMC cocoknya buat 10-20 jam karena gameplay.
Contoh game yg ga cocok playtime panjang justru yg berusaha menggabungkan 2 elemen ini kek FF16.
Bukannya jelek, tp narasi yg panjangnya ga ditunjang ama gameplay yg panjang jg. Dari pertengahan udah ga ada yg bisa di explore biar kita naik level ama dpat skill baru, playstyle tetep sama selama 80 jam malah bikin bosen sebelum tamat."
31,"Wkwkwk FF16, gameplay 3-5 menit, dilanjut cutscene 10-12 menit"
32,"Tetep gak semua orang suka game durasi panjang walaupun side questnya sama sama menarik, balik ke personal yang main gamenya masing masing"
33,"bosen juga namatin game terlalu lama selesai,"
34,"Asik nih pembahasannya, semangat bang ane tungguin terus update videonya"
35,"Makasi udah mampir & support brok!"
36,"Bahas game tema zombie bang! Misal bahas beberapa game game tema zombie paling mengerikan dan seru atau membahas tipe tipe dari setiap character zombie bang"
37,"Wahh menarik! boleeh nanti coba gw kembangin idenya ️ makasi udah mampir & support ya bro"
38,"butuh part2 sih kalo kata gw"
39,"Siaaap! ditunggu yaa part selanjutnya ️"
40,"gw temenin bg sampe channel ini 1jt subs"
41,"Makasi banyak udah nonton & support, ditunggu video2 lainnya ya"
42,"Lanjut part 2,3,4 bang. ini yg gua cari2"
43,"Siaap, tenang nanti ada part2 selanjutnya kok. Stay tuned yaa! ️ Btw, makasi udah mampir & support yaa"
44,"Keren banget ini channel nya, buat rekomendasi game lainnya lagi dong bang. Buat yang sibuk tp masih main game , tp di genre lain , kayak platformer, arcade dll"
45,"Welcome bro! siaaap ditunggu aja ya video2 selanjutnya. makasi udah mampir & support"
46,"@MainQuestID sama sama, sudah saya sub. pembawaannya mantap"
47,"channel keren, pembawaan asik, earn a new subs"
48,"Hai kak faiz! makasi udah mampir & support yaa  ditunggu video2 seru lainnya"
49,"Control itu bagus banget kalo ngulik lorenya, soalnya nyambung k alan wake."
50,"Sumpah! emang nagih banget, gw langsung main alan wake 1 juga biar tau lorenya. udah nyobain FBC:Firebreak belom? itu juga masih di universe remedy brok"
51,"Asoy nih channel gw sub bang"
52,"makasii udah mampir & support ya bro"
53,"Nice bang. Bahas anticipated upcoming game juga bang"
54,"Boleeh! tenang aja udah disiapin kok, stay tuned ya!  makasi udah mampir & support ya bro!"
55,"Cocok buat berlangganan gamepas"
56,"betull! jadi bisa main banyak game ️"
57,"Mantap gua subs"
58,"Welcome brok! makasi udah mampir & support yaa ️"
59,"Wah pendekatannya beda nih, biasa rekomendasiin game berdasarkan genre. Ini berdasarkan durasi average namatin game."
60,"Iya dong, karena yang ga punya waktu banyak pun butuh main game juga️"
61,"Cobain Ryse: Son of Rome bang, game murah meriah (steam sale) grafik luar biasa karena pakai CryEngine"
62,"Menarik! makasi insightnya bro. nanti gw coba beli dan mainin dulu ya"
63,"gokil bang"
64,"Makasih udah mampir & support bro"
65,"tapi kembali lagi esensi main game itu nikmati main cepet cepet ya buat apa, tapi disisi lain kalo main game lama karena dipaksa lama oleh gamenya sendiri ya capek juga, misal misinya repetitif dan harus diselesaikan"
66,"Betull banget!Btw, next video bakal ada hubungannya sama statement ini loh! Stay tuned yaa. dan makasi udah mampir & support, bro"
67,"the witcher 3 game terlama yang pernah aku mainin dan belum pernah tamat"
68,"ahahaha emang rada makan waktu sih, tapi worth it untuk ditamatin"
69,"Udh ratusan jam kah? Btw sekedar info gue tamat gamenya termasuk base game+DLC memakan sekitar 200 an jam playtime, itupun side quest+contract di DLC blood and wine belum kelar semua"
70,"​ @RhysStrongforkk emang lama banget, tapi ya enjoy secara explorasi & lorenya keren"
71,"Yup overall great experience, apalagi healing jalan-jalan Ama Roach di Toussaint xD​ @MainQuestID"
72,"@RhysStrongforkk  Dunianya atmospheric banget sih yang bikin gw cinta banget sama Witcher 3, kita berasa di bawa kesana gitu. kalo tertarik liat dokumenter pembuatannya, coba cek channelnya NoClip deh, ada 5 episode kalo ga salah, seru banget asli"
73,"Barusan cek playlistnya,ternyata sudah ada 8 episode. Btw thx infonya ​ @MainQuestID"
74,"Wah selera kita cocok bang, subs & like ahh
Tp 1&2 agak males soalnya too much harus baca klo mo paham lorenya"
75,"mantaaap! ahahah gw ngerti sih, tapi kalo penasaran mau icip2 dan langsung dive-in tanpa tau lore-nya juga aman kok"
76,"Gw suka konteks lu di video sesuai bang, kek judulnya nyari 20 jam ya elunya jelasin brp lama kita bisa namatin. Keep going bang!!​ @MainQuestID"
77,"@harugamnime  Pastinya dong  makasi banyak, ditunggu video2 selanjutnya ya"
78,"dame dame dameyo"
79,"wkwkwkwk anjir jadi keinget lagi tuh lagu"
80,"Bang bahas game chernobyl  2"
81,"boleeh, nanti dicariin kategori yang pas ya buat Chernobyl 2. makasi udah mampir & support"
82,"Call Of Duty series gak ada yg masuk wkwk, padahal playtime per gamenya rata-rata cuma 7-10 jam di mode story"
83,"COD rada kurang cocok dimasukkin kesini brok hehehe tapi tenang seri itu masuk kategori lain kok. coba cek video terbaru MainQuest deh ️"
84,"Dari capcom, RE dan DMC series juga masuk game asik buat dimaenin cepat"
85,"Betul! cuma karena listnya takut kepanjangan nanti dibuatin video sendiri ya makasi udah mampir bro!"
86,"​ @MainQuestID sama-sama bro, buat part lanjutan aja sih lg disesuaikan dgn kategori lg karena banyak jg sih, kyk game perang (COD, BF) gak tau kalau game Stellar Blade sama Black Myth Wukong masuk apa kagak. 

Btw jangan masukkan genre soul Slash wkwkwk"
87,"@RevePlan  siaaap!"
88,"Blackmitwukong 19 jam (newgame +2)"
89,"Anjir sampe NG +2?? gokil brok! boleeh nanti dimasukkin part 2 nya yaa. makasi udah nonton & support bro"
90,"game2 metroidvania biasanya sekitar 8 jam"
91,"Nah ini menarik nih! tadinya mau gw masukkin, cuma karena game dengan genre metroidvania banyak yang oke, kayanya lebih cocok gw buatin video sendiri nanti  Stay tuned yaa dan makasi juga udah mampir & support bro"
92,"Re4remik"
93,"Betul! sebenernya banyak banget sih yang bisa masuk, ditunggu part selanjutnya yaa! makasi udah mampir & support"
94,"Ff 7 remake juga bang klo main quest doang 20an jam"
95,"Betul banget! FF7 Remake emang padet banget ceritanya. Cocok nih untuk masuk ke part 2-nya, ditunggu aja ya Makasih banyak udah mampir dan support ya bro"
96,"Aku lebih demen game yg tamat kisaran 15 sama 25 jam mentok di 30 jamlah, kalo dah 35 keatas beuh capek dan juga aku suka cerita yg cukus fast pace. Tapi untuk beberapa game rule ini gak berlaku seperti persona series khususnya Persona 3."
97,"30 jam harusnya optimal sih, puasnya dapet & ga terlalu cape buat diikutin ️ wah jujur gw belom pernah main Persona Series, selain entry-nya udah banyak terus panjang2 juga jadi butuh waktu. mungkin kedepan bakal icip2 sih"
98,"Mantap, gua persona 5 kisaran 70 jam playtime gak terasa banget, tp gua main saat belum menikah. Skrg udah nikah agak jarang maen ps tp masih bisa lah 1-2 jam sekali main"
